Identifier (RIC),Company Name,Exchange Name,Market Cap,IPO Date,Ticker Symbol,Trading Symbol,"Price Close
(USD)"
NLY.N,Annaly Capital Management Inc,New York Stock Exchange,"17,229,912,144.12",08/10/1997,NLY,NLY,23.06
AR.N,Antero Resources Corporation,New York Stock Exchange,"11,845,624,670.00",10/10/2013,AR,AR,38.53
AON.N,Aon PLC,New York Stock Exchange,"75,088,161,127.32",02/06/1980,AON,AON,353.98
APA.OQ,APA Corporation,Nasdaq Stock Exchange Global Select Market,"14,430,978,696.90",27/05/1969,APA,APA,41.19
AIV.N,Apartment Investment and Management Co,New York Stock Exchange,"367,449,351.94",22/07/1994,AIV,AIV,2.53
APOG.OQ,Apogee Enterprises Inc,Nasdaq Stock Exchange Global Select Market,"852,678,492.84",01/07/1971,APOG,APOG,40.86
ARI.N,Apollo Commercial Real Estate Finance Inc,New York Stock Exchange,"875,387,043.93",24/09/2009,ARI,ARI,6.81
APO.N,"Apollo Global Management, Inc.",New York Stock Exchange,"78,937,904,063.53",29/03/2011,APO,APO,133.67
APLE.N,Apple Hospitality REIT Inc,New York Stock Exchange,"3,907,168,651.90",18/05/2015,APLE,APLE,16.55
AAPL.OQ,Apple Inc.,Nasdaq Stock Exchange Global Select Market,"4,574,545,721,000.00",12/12/1980,AAPL,AAPL,313.45
APLD.OQ,Applied Digital Corporation,Nasdaq Stock Exchange Global Select Market,"7,831,775,039.44",22/07/2002,APLD,APLD,26.87
AIT.N,"Applied Industrial Technologies, Inc.",New York Stock Exchange,"12,567,156,248.64",06/05/1905,AIT,AIT,342.44
AMAT.OQ,Applied Materials Inc,Nasdaq Stock Exchange Global Select Market,"380,736,309,253.68",05/10/1972,AMAT,AMAT,479.76
ATR.N,"AptarGroup, Inc.",New York Stock Exchange,"8,598,711,885.96",23/04/1993,ATR,ATR,135.24
APTV.N,APTIV PLC,New York Stock Exchange,"9,607,194,225.37",17/11/2011,APTV,APTV,46.27
APYX.OQ,Apyx Medical Inc,Nasdaq Stock Exchange Global Select Market,"128,478,270.15",22/07/1983,APYX,APYX,3.05
ARMK.N,Aramark,New York Stock Exchange,"15,690,962,618.88",12/12/2013,ARMK,ARMK,59.52
ABR.N,"Arbor Realty Trust, Inc.",New York Stock Exchange,"943,983,697.58",07/04/2004,ABR,ABR,5.06
ABUS.OQ,Arbutus Biopharma Corp,Nasdaq Stock Exchange Global Select Market,"1,028,168,806.17",13/11/2010,ABUS,ABUS,5.19
